方法,round,类别组,普通提案margin变化乘1e4,修正margin变化乘1e4,提交A净margin变化乘1e4,分类LA修正变化_类均衡,功能权重份额,CP显式样本权重份额
Full-CP μ1,83,Medium35,0.1108111920621675,-0.07156797952674437,0.03924321253542313,0.0013517449817697705,0.3891999078041408,0.15838480547245126
Full-CP μ1,83,Few30,-0.0469812906781519,0.05026294748684523,0.0032816568086933484,-0.0025690341175232797,0.14206371981708799,0.028118373607867397
Full-CP μ1,84,Head20,0.6297139870982638,-0.5620844600669098,0.06762952703135379,0.001254400643556352,0.2377095804840792,0.6133493087909301
Full-CP μ1,84,Middle60,0.006157166449315588,0.07058908489295702,0.0767462513422726,0.000758674616020408,0.7062729860772379,0.3725454003215418
Full-CP μ1,84,Tail20,0.0037180007590601805,0.009395963085504888,0.013113963844565051,-0.003213040404759037,0.056017410490312614,0.014105282643868122
Full-CP μ1,84,Many35,0.2985429147823322,-0.17506258777873748,0.12348032700359464,0.0011038656362149662,0.46438394908909686,0.8134968126760214
Full-CP μ1,84,Medium35,0.11543904141065789,-0.07016085299799665,0.0452781884126612,0.0013556398023531289,0.3934587886178633,0.15838480547245126
Full-CP μ1,84,Few30,-0.04837662408830794,0.058813186037833934,0.010436561949526016,-0.002657833620423752,0.1421572393446695,0.028118373607867397
Full-CP μ1,85,Head20,0.6793632025246871,-0.5697308158162748,0.10963238670841229,0.0012640810817811012,0.2423675728496164,0.6133493087909301
Full-CP μ1,85,Middle60,0.0024272137194797966,0.07626400554167166,0.07869121926115147,0.0007500901898630298,0.697490572638344,0.3725454003215418
Full-CP μ1,85,Tail20,-0.011230826688309522,0.019509425328578803,0.00827859864026929,-0.0034534836050200577,0.06014187223627232,0.014105282643868122
Full-CP μ1,85,Many35,0.32110700876907783,-0.1756003163959073,0.1455066923731706,0.001121940156998889,0.4714115801616572,0.8134968126760214
Full-CP μ1,85,Medium35,0.11920223425366712,-0.06653662124133118,0.05266561301233598,0.0013502684636610772,0.3870322058646707,0.15838480547245126
Full-CP μ1,85,Few30,-0.06341810552999128,0.06820684466832426,0.004788739138333004,-0.002843664693203206,0.14155623169790488,0.028118373607867397
Full-CP μ1,86,Head20,0.6558472313050784,-0.5643379673197296,0.09150926398534871,0.0012363658633153974,0.2399904799676733,0.6133493087909301
Full-CP μ1,86,Middle60,0.007144518982702894,0.06965873895512253,0.07680325793782539,0.0007480895119550559,0.7004510696133366,0.3725454003215418
Full-CP μ1,86,Tail20,-0.01900891511468217,0.01339771576264561,-0.0056111993520365396,-0.0032382543716812503,0.05955843625997659,0.014105282643868122
Full-CP μ1,86,Many35,0.3150143145380108,-0.18066966021357544,0.13434465432443535,0.0010926358495910056,0.4724403156869812,0.8134968126760214
Full-CP μ1,86,Medium35,0.11829673544821852,-0.06862989854977919,0.04966683689843931,0.001341420978071075,0.3846689085767139,0.15838480547245126
Full-CP μ1,86,Few30,-0.06668164289159771,0.06287346209610283,-0.0038081807954948744,-0.002678146280606218,0.14289076157729141,0.028118373607867397
Full-CP μ1,87,Head20,0.6469010912341293,-0.5893038579946499,0.05759723323947947,0.001310464877765934,0.23272178909974173,0.6133493087909301
Full-CP μ1,87,Middle60,-0.0034247720355240372,0.07792006100001957,0.07449528896449553,0.0007574547456469506,0.7094647845515283,0.3725454003215418
Full-CP μ1,87,Tail20,-0.016353974206140248,0.015010961215011769,-0.0013430129911284915,-0.0033627949094322206,0.05781338929955382,0.014105282643868122
Full-CP μ1,87,Many35,0.30343624926735685,-0.18652437293226362,0.11691187633509321,0.0011464048971164796,0.461963635214488,0.8134968126760214
Full-CP μ1,87,Medium35,0.11548470574341985,-0.07064138271391442,0.04484332302950546,0.0013970332135512832,0.39370014039741363,0.15838480547245126
Full-CP μ1,87,Few30,-0.0752259135649615,0.07300490573415475,-0.0022210078308067182,-0.002820654992262679,0.14433618733892217,0.028118373607867397
Full-CP μ1,88,Head20,0.6460707498831167,-0.6137941413690224,0.03227660851409427,0.0013272945229047034,0.2361184493638575,0.6133493087909301
